LspServer.UnturnedAssetFileLspServer | Starting LSP server...
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for initialize
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Serial:initialize:0 request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing request initialize 0
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Request (0) initialize
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Request (0) initialize to OmniSharp.Extensions.LanguageServer.Protocol.Models.InternalInitializeParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification initialize to OmniSharp.Extensions.LanguageServer.Protocol.Models.InternalInitializeParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Response value was OmniSharp.Extensions.LanguageServer.Protocol.Models.InitializeResult
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Request (0) initialize in 157ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing request initialize 0 in 159ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for initialized
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Serial:initialized request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification initialized
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification initialized
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification initialized to OmniSharp.Extensions.LanguageServer.Protocol.Models.InitializedParams
OmniSharp.Extensions.LanguageServer.Server.Configuration.DidChangeConfigurationProvider | No ConfigurationItems have been defined, configuration won't surface any configuration from the client!
LspServer.UnturnedAssetFileLspServer | LSP initialized...
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification initialized in 24ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification initialized in 25ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for workspace/didChangeConfiguration
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Swapping from Serial to Parallel
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Completing existing request process type Serial
OmniSharp.Extensions.JsonRpc.ProcessScheduler | Queueing Parallel:workspace/didChangeConfiguration request for processing
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Starting: Processing notification workspace/didChangeConfiguration
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Starting: Routing Notification workspace/didChangeConfiguration
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Converting params for Notification workspace/didChangeConfiguration to OmniSharp.Extensions.LanguageServer.Protocol.Models.DidChangeConfigurationParams
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finished: Routing Notification workspace/didChangeConfiguration in 4ms
OmniSharp.Extensions.JsonRpc.DefaultRequestInvoker | Finished: Processing notification workspace/didChangeConfiguration in 4ms
OmniSharp.Extensions.LanguageServer.Shared.LspRequestRouter | Finding descriptors for textDocument/didOpen
